dataset,mol_id,pdb_id,method,priority,role,state,gpu_required,protein_pdb,ligand_file,case_dir,output_dir,command_template,model_key,planned_tag,fixed_seed,queue_status,runtime_sec,top_pocket_rmsd_approx,top_pocket_success_2a_approx,run_status_path
astex_diverse,1G9V_RQ3,1g9v,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1G9V_RQ3,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1G9V_RQ3,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1G9V_RQ3,boltz2_gpu,full_r1_s20_seed101,101,ok,81.453,9.797316051142873,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1G9V_RQ3/full_r1_s20_seed101/run_status.json
astex_diverse,1GKC_NFH,1gkc,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GKC_NFH,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GKC_NFH,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1GKC_NFH,boltz2_gpu,full_r1_s20_seed101,101,ok,78.851,10.192816146571124,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1GKC_NFH/full_r1_s20_seed101/run_status.json
astex_diverse,1GM8_SOX,1gm8,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GM8_SOX,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GM8_SOX,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1GM8_SOX,boltz2_gpu,full_r1_s20_seed101,101,ok,64.261,8.495346609980325,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1GM8_SOX/full_r1_s20_seed101/run_status.json
astex_diverse,1GPK_HUP,1gpk,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,external/PoseBench/data/astex_diverse_set/1GPK_HUP,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1GPK_HUP,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1GPK_HUP,boltz2_gpu,full_r1_s20_seed101,101,ok,44.446,3.8338977124229046,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1GPK_HUP/full_r1_s20_seed101/run_status.json
astex_diverse,1HNN_SKF,1hnn,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HNN_SKF,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HNN_SKF,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HNN_SKF,boltz2_gpu,full_r1_s20_seed101,101,ok,53.926,33.321233685931354,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HNN_SKF/full_r1_s20_seed101/run_status.json
astex_diverse,1HP0_AD3,1hp0,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HP0_AD3,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HP0_AD3,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HP0_AD3,boltz2_gpu,full_r1_s20_seed101,101,ok,51.475,26.039346854573292,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HP0_AD3/full_r1_s20_seed101/run_status.json
astex_diverse,1HQ2_PH2,1hq2,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HQ2_PH2,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HQ2_PH2,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HQ2_PH2,boltz2_gpu,full_r1_s20_seed101,101,ok,36.43,3.729105640383998,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HQ2_PH2/full_r1_s20_seed101/run_status.json
astex_diverse,1HVY_D16,1hvy,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HVY_D16,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HVY_D16,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HVY_D16,boltz2_gpu,full_r1_s20_seed101,101,ok,150.898,35.30318475372362,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HVY_D16/full_r1_s20_seed101/run_status.json
astex_diverse,1HWI_115,1hwi,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HWI_115,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWI_115,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HWI_115,boltz2_gpu,full_r1_s20_seed101,101,failed_no_prediction_cif,286.987,,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HWI_115/full_r1_s20_seed101/run_status.json
astex_diverse,1HWW_SWA,1hww,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,external/PoseBench/data/astex_diverse_set/1HWW_SWA,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1HWW_SWA,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1HWW_SWA,boltz2_gpu,full_r1_s20_seed101,101,ok,103.114,3.1669097101301746,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1HWW_SWA/full_r1_s20_seed101/run_status.json
astex_diverse,1IA1_TQ3,1ia1,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_protein.pdb,external/PoseBench/data/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_ligand.sdf,external/PoseBench/data/astex_diverse_set/1IA1_TQ3,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1IA1_TQ3,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1IA1_TQ3,boltz2_gpu,full_r1_s20_seed101,101,ok,36.355,45.99522678584896,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1IA1_TQ3/full_r1_s20_seed101/run_status.json
astex_diverse,1IG3_VIB,1ig3,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1IG3_VIB/1IG3_VIB_protein.pdb,external/PoseBench/data/astex_diverse_set/1IG3_VIB/1IG3_VIB_ligand.sdf,external/PoseBench/data/astex_diverse_set/1IG3_VIB,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1IG3_VIB,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1IG3_VIB,boltz2_gpu,full_r1_s20_seed101,101,ok,45.1,18.878904608728142,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1IG3_VIB/full_r1_s20_seed101/run_status.json
astex_diverse,1J3J_CP6,1j3j,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_protein.pdb,external/PoseBench/data/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand.sdf,external/PoseBench/data/astex_diverse_set/1J3J_CP6,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1J3J_CP6,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1J3J_CP6,boltz2_gpu,full_r1_s20_seed101,101,ok,129.295,41.4332534942231,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1J3J_CP6/full_r1_s20_seed101/run_status.json
astex_diverse,1JD0_AZM,1jd0,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_protein.pdb,external/PoseBench/data/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligand.sdf,external/PoseBench/data/astex_diverse_set/1JD0_AZM,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1JD0_AZM,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1JD0_AZM,boltz2_gpu,full_r1_s20_seed101,101,ok,44.698,3.598606764938959,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1JD0_AZM/full_r1_s20_seed101/run_status.json
astex_diverse,1JJE_BYS,1jje,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1JJE_BYS/1JJE_BYS_protein.pdb,external/PoseBench/data/astex_diverse_set/1JJE_BYS/1JJE_BYS_ligand.sdf,external/PoseBench/data/astex_diverse_set/1JJE_BYS,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1JJE_BYS,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1JJE_BYS,boltz2_gpu,full_r1_s20_seed101,101,ok,43.418,8.29948073747818,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1JJE_BYS/full_r1_s20_seed101/run_status.json
astex_diverse,1JLA_TNK,1jla,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1JLA_TNK/1JLA_TNK_protein.pdb,external/PoseBench/data/astex_diverse_set/1JLA_TNK/1JLA_TNK_ligand.sdf,external/PoseBench/data/astex_diverse_set/1JLA_TNK,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1JLA_TNK,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1JLA_TNK,boltz2_gpu,full_r1_s20_seed101,101,ok,116.513,6.328104587680447,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1JLA_TNK/full_r1_s20_seed101/run_status.json
astex_diverse,1K3U_IAD,1k3u,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_protein.pdb,external/PoseBench/data/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligand.sdf,external/PoseBench/data/astex_diverse_set/1K3U_IAD,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1K3U_IAD,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1K3U_IAD,boltz2_gpu,full_r1_s20_seed101,101,ok,50.276,16.058352722867042,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1K3U_IAD/full_r1_s20_seed101/run_status.json
astex_diverse,1KE5_LS1,1ke5,Boltz-2,1,classical_docking_full_coverage_floor,ok,False,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_protein.pdb,external/PoseBench/data/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligand.sdf,external/PoseBench/data/astex_diverse_set/1KE5_LS1,results/posebench_702_predictions/vina_cpu_full/astex_diverse/1KE5_LS1,python scripts/67_run_posebench_vina_case.py --dataset astex_diverse --case-id 1KE5_LS1,boltz2_gpu,full_r1_s20_seed101,101,ok,44.661,8.134368682475383,False,results/posebench_702_predictions/boltz2_gpu/astex_diverse/1KE5_LS1/full_r1_s20_seed101/run_status.json
