_group_id,case_type,method_official,target_official,ligand_instance_chain_official,memory_score_official,ligand_memory_official,pocket_memory_official,protein_memory_official,shape_pocket_memory_official,seed_official,sample_official,ranking_score_official,rmsd_official,success_rmsd_2_official,pb_valid_all_official,model_ligand_chain_official,structure_relative_path_official,pred_protein_min_dist_official,pred_protein_contact_density_4a_official,pred_protein_clash_density_2a_official,seed_selected,sample_selected,ranking_score_selected,rmsd_selected,success_rmsd_2_selected,pb_valid_all_selected,model_ligand_chain_selected,structure_relative_path_selected,pred_protein_min_dist_selected,pred_protein_contact_density_4a_selected,pred_protein_clash_density_2a_selected,rmsd_delta_selected_minus_official,ranking_score_delta_selected_minus_official,contact_density_delta_selected_minus_official,clash_density_delta_selected_minus_official,ligand_smiles,ligand_num_heavy_atoms,ligand_num_rot_bonds,pred_pocket_precision,pred_pocket_recall,pred_pocket_f1,selected_clash_ok,selected_contact_ok,selected_min_dist_ok,selected_pb_status,selected_geometry_plausible,selected_confidence_drop_small,rmsd_gain_official_minus_selected,ranking_score_drop_official_minus_selected,strong_rescue_flag,needs_visual_review
boltz2|8j7j__1__1.A_1.B__1.C|1.C,rescued,boltz2,8j7j__1__1.A_1.B__1.C,1.C,0.3410472369781002,0.1052631578947368,0.65,0.45,0.2585256585747115,2667681464,0,0.9027935266494752,8.269673347473145,False,,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8j7j__1__1.A_1.B__1.C/seed-2667681464_sample-0.cif,1.6799944662183055,4.8,0.08,531161204,0,0.898436963558197,1.7803895473480225,True,,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8j7j__1__1.A_1.B__1.C/seed-531161204_sample-0.cif,2.81059403017588,2.8,0.0,-6.489283800125122,-0.0043565630912781,-2.0,-0.08,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,25,5,,,,True,True,True,missing,True,True,6.489283800125122,0.0043565630912781,True,True
boltz2|8g4a__1__1.A_1.B__1.C|1.C,rescued,boltz2,8g4a__1__1.A_1.B__1.C,1.C,0.2310147037633507,0.054054054054054,0.32,0.48,0.180478924222159,3453449591,0,0.910465657711029,4.771772861480713,False,,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8g4a__1__1.A_1.B__1.C/seed-3453449591_sample-0.cif,2.4936781344987464,3.3157894736842106,0.0,3453449591,2,0.8919469714164734,0.348782479763031,True,,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/boltz2/8g4a__1__1.A_1.B__1.C/seed-3453449591_sample-2.cif,2.2772779199025552,3.684210526315789,0.0,-4.422990381717682,-0.0185186862945556,0.3684210526315783,0.0,FC(F)(F)c1cc(-c2nn[nH]n2)cc(C(F)(F)F)c1,19,1,,,,True,True,True,missing,True,True,4.422990381717682,0.0185186862945556,True,True
af3|8oqt__1__1.D__1.KA_1.LA|1.KA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.KA,0.3021172097360155,0.131578947368421,0.5,0.38,0.2753228907853408,2423057168,2,0.92554266714327,5.477558612823486,False,True,K,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-2423057168_sample-2.cif,2.329287482438464,2.0,0.0,1278792607,3,0.9239819051373248,1.203909158706665,True,,G,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-1278792607_sample-3.cif,3.2496762258908705,1.2727272727272727,0.0,-4.273649454116821,-0.0015607620059452,-0.7272727272727273,0.0,O=S(=O)(O)c1ccc(Br)cc1,11,1,0.5789473684210527,0.8461538461538461,0.6875,True,True,True,missing,True,True,4.273649454116821,0.0015607620059452,True,True
af3|8oqt__1__1.D__1.KA_1.LA|1.LA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.LA,0.3024154635531021,0.131578947368421,0.5,0.38,0.2768141598707736,2423057168,2,0.92554266714327,5.477558612823486,False,True,K,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-2423057168_sample-2.cif,2.329287482438464,2.0,0.0,1278792607,3,0.9239819051373248,1.203909158706665,True,,G,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8oqt__1__1.D__1.KA_1.LA/seed-1278792607_sample-3.cif,3.2496762258908705,1.2727272727272727,0.0,-4.273649454116821,-0.0015607620059452,-0.7272727272727273,0.0,O=S(=O)(O)c1ccc(Br)cc1,11,1,,,,True,True,True,missing,True,True,4.273649454116821,0.0015607620059452,True,True
af3|7ypu__1__1.A_1.B__1.J_1.K|1.J,rescued,af3,7ypu__1__1.A_1.B__1.J_1.K,1.J,0.3473158508969899,0.1307692307692307,0.71,0.33,0.2902331006387956,460180404,1,0.9325143577108824,2.7236948013305664,False,False,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/7ypu__1__1.A_1.B__1.J_1.K/seed-460180404_sample-1.cif,1.7724401220907688,2.2333333333333334,0.1333333333333333,275075909,4,0.920715200016436,1.369502305984497,True,,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/7ypu__1__1.A_1.B__1.J_1.K/seed-275075909_sample-4.cif,2.184998908193657,2.566666666666667,0.0,-1.3541924953460691,-0.0117991576944463,0.3333333333333335,-0.1333333333333333,NCC(=O)N[C@@H]1[C@H](O)[C@@H](OC(N)=O)[C@@H](CO)O[C@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@H]2N1,30,5,0.85,0.8095238095238095,0.8292682926829269,True,True,True,missing,True,True,1.3541924953460691,0.0117991576944463,False,True
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,0.3255813953488372,0.13,0.42,0.065362046552694,3454061907,2,0.8985567519400718,2.483792304992676,False,True,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3454061907_sample-2.cif,2.3421731924753275,4.6875,0.0,3236031381,3,0.895191765333317,1.3524090051651,True,,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3236031381_sample-3.cif,2.224232734240166,4.1875,0.0,-1.1313832998275757,-0.0033649866067547,-0.5,0.0,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,16,7,,,,True,True,True,missing,True,True,1.1313832998275757,0.0033649866067547,False,True
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,0.3255813953488372,0.13,0.42,0.065362046552694,3907033700,1,0.906398892835863,2.957307815551758,False,False,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3907033700_sample-1.cif,2.057377201589348,4.75,0.0,1334425176,0,0.8970673038911061,1.8910285234451287,True,,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-1334425176_sample-0.cif,2.12429951878614,4.1875,0.0,-1.066279292106629,-0.0093315889447568,-0.5625,0.0,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,16,7,0.8846153846153846,0.9583333333333334,0.92,True,True,True,missing,True,True,1.066279292106629,0.0093315889447568,False,True
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,0.5588235294117647,0.13,0.42,0.073116223425602,3907033700,1,0.906398892835863,2.957307815551758,False,False,C,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3907033700_sample-1.cif,2.057377201589348,4.75,0.0,42820943,2,0.8980108728376242,1.932344913482666,True,,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-42820943_sample-2.cif,2.335073291729445,3.9375,0.0,-1.0249629020690918,-0.0083880199982387,-0.8125,0.0,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,16,7,,,,True,True,True,missing,True,True,1.0249629020690918,0.0083880199982387,False,True
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,0.5588235294117647,0.13,0.42,0.073116223425602,3454061907,2,0.8985567519400718,2.483792304992676,False,True,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-3454061907_sample-2.cif,2.3421731924753275,4.6875,0.0,352697732,2,0.8875067001498733,1.6924625635147097,True,,E,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/af3_no_templ/8fdb__1__1.A_1.B__1.D_1.F_1.H/seed-352697732_sample-2.cif,2.159737403277424,3.875,0.0,-0.7913297414779661,-0.0110500517901984,-0.8125,0.0,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,16,7,,,,True,True,True,missing,True,True,0.7913297414779661,0.0110500517901984,False,True
protenix|8eym__1__1.A_1.B__1.C_1.E|1.C,rescued,protenix,8eym__1__1.A_1.B__1.C_1.E,1.C,0.1889863473461275,0.196078431372549,0.1,0.42,0.0567944818286769,3614252639,0,0.9597361087799072,2.1514687538146973,False,False,D0,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/protenix/8eym__1__1.A_1.B__1.C_1.E/seed-3614252639_sample-0.cif,2.11403952102741,3.789473684210526,0.0,323189878,4,0.9508039951324464,1.4076029062271118,True,,D0,scicore/home/schwede/durair0000/projects/plinder-org/Runs-N-Poses/data/paper_data/prediction_files/protenix/8eym__1__1.A_1.B__1.C_1.E/seed-323189878_sample-4.cif,2.173251779465684,3.210526315789474,0.0,-0.7438658475875854,-0.0089321136474608,-0.5789473684210522,0.0,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@@H]1O,19,4,,,,True,True,True,missing,True,True,0.7438658475875854,0.0089321136474608,False,True
