confidence_json,dataset,gpu,input_json,ligand_file,ligand_heavy_atoms,ligand_smiles,matched_ca,matched_chains,model,mol_id,n_protein_chains,native_ligand_heavy_atoms,output_dir,pocket_ca_rmsd_after_fit,pocket_cutoff_a,pocket_matched_ca,pred_ligand_heavy_atoms,prediction_cif,protein_lengths,protein_pdb,protenix_iptm,protenix_plddt,protenix_ptm,protenix_ranking_score,receptor_ca_rmsd_after_fit,returncode,runtime_sec,status,tag,top_pocket_rmsd_approx,top_pocket_success_2a_approx,top_rmsd_approx,top_success_2a_approx,status_json,stderr_tail,stdout_tail,exception,exception_type,failure_class
results/posebench_702_predictions/protenix_gpu/astex_diverse/1G9V_RQ3/full_base_c1_s20_n1/output/1G9V_RQ3/seed_101/predictions/1G9V_RQ3_seed_101_summary_confidence_sample_0.json,astex_diverse,4,results/posebench_702_predictions/protenix_gpu/astex_diverse/1G9V_RQ3/full_base_c1_s20_n1/inputs/1G9V_RQ3.json,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,25.0,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,574.0,"A:141,B:146,C:141,D:146",protenix_base_default_v0.5.0,1G9V_RQ3,4.0,25.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1G9V_RQ3/full_base_c1_s20_n1,9.785219248319407,10.0,77.0,25.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1G9V_RQ3/full_base_c1_s20_n1/output/1G9V_RQ3/seed_101/predictions/1G9V_RQ3_seed_101_sample_0.cif,A:141;B:146;C:141;D:146,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,0.12287667393684387,42.918949127197266,0.22017621994018555,0.14233659207820892,23.093633043458087,0.0,85.266,ok,full_base_c1_s20_n1,13.840580258162126,False,6.3332412118745225,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1G9V_RQ3/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1GKC_NFH/full_base_c1_s20_n1/output/1GKC_NFH/seed_101/predictions/1GKC_NFH_seed_101_summary_confidence_sample_0.json,astex_diverse,7,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GKC_NFH/full_base_c1_s20_n1/inputs/1GKC_NFH.json,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,22.0,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)CN(O)C=O)C(C)(C)C,315.0,"A:159,B:156",protenix_base_default_v0.5.0,1GKC_NFH,2.0,22.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GKC_NFH/full_base_c1_s20_n1,13.39895086075166,10.0,52.0,22.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GKC_NFH/full_base_c1_s20_n1/output/1GKC_NFH/seed_101/predictions/1GKC_NFH_seed_101_sample_0.cif,A:159;B:156,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,0.1176738291978836,34.57663345336914,0.22251853346824646,0.13864277303218842,18.920566858101875,0.0,83.628,ok,full_base_c1_s20_n1,10.24885093091917,False,21.030483218288097,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GKC_NFH/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1GM8_SOX/full_base_c1_s20_n1/output/1GM8_SOX/seed_101/predictions/1GM8_SOX_seed_101_summary_confidence_sample_0.json,astex_diverse,6,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GM8_SOX/full_base_c1_s20_n1/inputs/1GM8_SOX.json,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf,24.0,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O,764.0,"A:207,B:557",protenix_base_default_v0.5.0,1GM8_SOX,2.0,24.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GM8_SOX/full_base_c1_s20_n1,15.538771655681797,10.0,76.0,24.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GM8_SOX/full_base_c1_s20_n1/output/1GM8_SOX/seed_101/predictions/1GM8_SOX_seed_101_sample_0.cif,A:207;B:557,external/PoseBench/data/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb,0.13891655206680298,32.13222122192383,0.18316401541233063,0.14776603877544403,27.523857603027622,0.0,98.108,ok,full_base_c1_s20_n1,8.820200256804391,False,9.028245866676965,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GM8_SOX/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1GPK_HUP/full_base_c1_s20_n1/output/1GPK_HUP/seed_101/predictions/1GPK_HUP_seed_101_summary_confidence_sample_0.json,astex_diverse,5,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GPK_HUP/full_base_c1_s20_n1/inputs/1GPK_HUP.json,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf,18.0,C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,529.0,A:529,protenix_base_default_v0.5.0,1GPK_HUP,1.0,18.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GPK_HUP/full_base_c1_s20_n1,14.980446735626904,10.0,75.0,18.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GPK_HUP/full_base_c1_s20_n1/output/1GPK_HUP/seed_101/predictions/1GPK_HUP_seed_101_sample_0.cif,A:529,external/PoseBench/data/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb,0.34275537729263306,28.558773040771484,0.17786040902137756,0.3097763955593109,21.1184269066938,0.0,104.934,ok,full_base_c1_s20_n1,5.10059208633881,False,6.951057482924605,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1GPK_HUP/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1HNN_SKF/full_base_c1_s20_n1/output/1HNN_SKF/seed_101/predictions/1HNN_SKF_seed_101_summary_confidence_sample_0.json,astex_diverse,4,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HNN_SKF/full_base_c1_s20_n1/inputs/1HNN_SKF.json,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf,14.0,NS(=O)(=O)c1ccc2c(c1)CNCC2,528.0,"A:261,B:267",protenix_base_default_v0.5.0,1HNN_SKF,2.0,14.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HNN_SKF/full_base_c1_s20_n1,11.934019659678802,10.0,72.0,14.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HNN_SKF/full_base_c1_s20_n1/output/1HNN_SKF/seed_101/predictions/1HNN_SKF_seed_101_sample_0.cif,A:261;B:267,external/PoseBench/data/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb,0.10674130916595459,34.08010482788086,0.191176638007164,-99.87637329101562,23.370900992545153,0.0,97.351,ok,full_base_c1_s20_n1,11.088462024906814,False,16.536681358788844,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HNN_SKF/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1HP0_AD3/full_base_c1_s20_n1/output/1HP0_AD3/seed_101/predictions/1HP0_AD3_seed_101_summary_confidence_sample_0.json,astex_diverse,7,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HP0_AD3/full_base_c1_s20_n1/inputs/1HP0_AD3.json,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf,19.0,Nc1nccc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,641.0,"A:319,B:322",protenix_base_default_v0.5.0,1HP0_AD3,2.0,19.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HP0_AD3/full_base_c1_s20_n1,12.56131713012941,10.0,72.0,19.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HP0_AD3/full_base_c1_s20_n1/output/1HP0_AD3/seed_101/predictions/1HP0_AD3_seed_101_sample_0.cif,A:319;B:322,external/PoseBench/data/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb,0.12027709186077118,30.488798141479492,0.18541400134563446,0.13330447673797607,21.637859897715295,0.0,91.495,ok,full_base_c1_s20_n1,24.625102949865614,False,31.262424137483876,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HP0_AD3/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1HQ2_PH2/full_base_c1_s20_n1/output/1HQ2_PH2/seed_101/predictions/1HQ2_PH2_seed_101_summary_confidence_sample_0.json,astex_diverse,6,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HQ2_PH2/full_base_c1_s20_n1/inputs/1HQ2_PH2.json,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf,14.0,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,158.0,A:158,protenix_base_default_v0.5.0,1HQ2_PH2,1.0,14.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HQ2_PH2/full_base_c1_s20_n1,11.92876488042565,10.0,52.0,14.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HQ2_PH2/full_base_c1_s20_n1/output/1HQ2_PH2/seed_101/predictions/1HQ2_PH2_seed_101_sample_0.cif,A:158,external/PoseBench/data/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb,0.24376264214515686,40.87374496459961,0.23039081692695618,0.24108827114105225,16.782830019554304,0.0,94.338,ok,full_base_c1_s20_n1,10.062289714004313,False,10.304384338925995,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HQ2_PH2/full_base_c1_s20_n1/run_status.json,,,,,ok
results/posebench_702_predictions/protenix_gpu/astex_diverse/1HVY_D16/full_base_c1_s20_n1/output/1HVY_D16/seed_101/predictions/1HVY_D16_seed_101_summary_confidence_sample_0.json,astex_diverse,5,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HVY_D16/full_base_c1_s20_n1/inputs/1HVY_D16.json,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf,32.0,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,1148.0,"A:287,B:287,C:287,D:287",protenix_base_default_v0.5.0,1HVY_D16,4.0,32.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HVY_D16/full_base_c1_s20_n1,12.650071191938297,10.0,82.0,32.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HVY_D16/full_base_c1_s20_n1/output/1HVY_D16/seed_101/predictions/1HVY_D16_seed_101_sample_0.cif,A:287;B:287;C:287;D:287,external/PoseBench/data/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb,0.15971069037914276,31.54900360107422,0.19736751914024353,0.16724206507205963,39.6206695259343,0.0,132.462,ok,full_base_c1_s20_n1,27.104432134832674,False,55.30000192734845,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HVY_D16/full_base_c1_s20_n1/run_status.json,,,,,ok
,astex_diverse,4,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWI_115/full_base_c1_s20_n1/inputs/1HWI_115.json,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf,30.0,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,,,protenix_base_default_v0.5.0,1HWI_115,4.0,,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWI_115/full_base_c1_s20_n1,,,,,,A:393;B:399;C:374;D:374,external/PoseBench/data/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb,,,,,,0.0,163.505,failed_no_prediction_cif,full_base_c1_s20_n1,,,,,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWI_115/full_base_c1_s20_n1/run_status.json,"x/lib/python3.10/site-packages/runner/inference.py"", line 312, in infer_predict
    prediction = runner.predict(data)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/utils/_contextlib.py"", line 115, in decorate_context
    return func(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/runner/inference.py"", line 152, in predict
    prediction, _, _ = self.model(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/protenix.py"", line 722, in forward
    pred_dict, log_dict, time_tracker = self.main_inference_loop(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/protenix.py"", line 338, in main_inference_loop
    pred_dict, log_dict, time_tracker = self._main_inference_loop(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/protenix.py"", line 460, in _main_inference_loop
    ) = self.run_confidence_head(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/protenix.py"", line 303, in run_confidence_head
    return autocasting_disable_decorator(self.configs.skip_amp.confidence_head)(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/utils/torch_utils.py"", line 219, in new_func
    return func(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/confidence.py"", line 211, in forward
    self.memory_efficient_forward(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/confidence.py"", line 301, in memory_efficient_forward
    s_single, z_pair = self.pairformer_stack(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/pairformer.py"", line 309, in forward
    s, z = checkpoint_blocks(
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/openfold_local/utils/checkpointing.py"", line 86, in checkpoint_blocks
    return exec(blocks, args)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/openfold_local/utils/checkpointing.py"", line 73, in exec
    a = wrap(block(*a))
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/pairformer.py"", line 154, in forward
    z += self.pair_transition(z)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/primitives.py"", line 219, in forward
    b = self.linear_no_bias_b(y)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1532, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1541, in _call_impl
    return forward_call(*args, **kwargs)
  File ""<REMOTE_PROJECT_ROOT>/envs/protenix/lib/python3.10/site-packages/protenix/model/modules/primitives.py"", line 94, in forward
    return F.linear(input, self.weight, self.bias)
torch.cuda.OutOfMemoryError: CUDA out of memory. Tried to allocate 4.70 GiB. GPU 


100%|██████████| 1/1 [01:04<00:00, 64.52s/it]
100%|██████████| 1/1 [01:04<00:00, 64.52s/it]
","Try to find the ccd cache data in the code directory for inference.
[2026-06-11 19:36:51,446] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
train scheduler 16.0
inference scheduler 16.0
Diffusion Module has 16.0
",,,gpu_oom
results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWW_SWA/full_base_c1_s20_n1/output/1HWW_SWA/seed_101/predictions/1HWW_SWA_seed_101_summary_confidence_sample_0.json,astex_diverse,7,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWW_SWA/full_base_c1_s20_n1/inputs/1HWW_SWA.json,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf,12.0,O[C@H]1[C@H]2[C@H](O)CCCN2C[C@H]1O,1014.0,A:1014,protenix_base_default_v0.5.0,1HWW_SWA,1.0,12.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWW_SWA/full_base_c1_s20_n1,11.988538641467189,10.0,56.0,12.0,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWW_SWA/full_base_c1_s20_n1/output/1HWW_SWA/seed_101/predictions/1HWW_SWA_seed_101_sample_0.cif,A:1014,external/PoseBench/data/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb,0.28261077404022217,36.17737579345703,0.18491849303245544,0.26307231187820435,27.299351428409654,0.0,106.967,ok,full_base_c1_s20_n1,5.59560603390651,False,17.887060126348622,False,results/posebench_702_predictions/protenix_gpu/astex_diverse/1HWW_SWA/full_base_c1_s20_n1/run_status.json,,,,,ok
