dataset,gpu,method,mol_id,n_predictions,native_sdf,oracle_confidence,oracle_prediction_sdf,oracle_rank,oracle_rmsd,oracle_success_2a,output_dir,protein_pdb,returncode,runtime_sec,samples,start_sdf,status,steps,tag,top_confidence,top_prediction_sdf,top_rank,top_rmsd,top_success_2a,status_json,ligand_description,ligand_description_mode,vina_status,vina_top_rmsd,vina_oracle_rmsd,vina_top_success_2a,vina_oracle_success_2a
posex_cross_dock,7,diffdock_l_gpu,5SAU_1IJ,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IJ/5SAU_1IJ_ligand.sdf,0.04,results/posex_cd/diffdock_l_gpu/5SAU_1IJ/default_s10_t20/predictions/5SAU_1IJ/rank5_confidence0.04.sdf,5,1.048300751692948,True,results/posex_cd/diffdock_l_gpu/5SAU_1IJ/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IJ/5SAU_1IJ_protein.pdb,0,39.836,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IJ/5SAU_1IJ_ligand_start_conf.sdf,ok,20,default_s10_t20,0.25,results/posex_cd/diffdock_l_gpu/5SAU_1IJ/default_s10_t20/predictions/5SAU_1IJ/rank1_confidence0.25.sdf,1,0.8071805029442506,True,results/posex_cd/diffdock_l_gpu/5SAU_1IJ/default_s10_t20/run_status.json,,,ok,7.025447603178035,7.025447603178035,False,False
posex_cross_dock,6,diffdock_l_gpu,5SAU_1IM,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IM/5SAU_1IM_ligand.sdf,0.54,results/posex_cd/diffdock_l_gpu/5SAU_1IM/default_s10_t20/predictions/5SAU_1IM/rank7_confidence0.54.sdf,7,0.42446298887956224,True,results/posex_cd/diffdock_l_gpu/5SAU_1IM/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IM/5SAU_1IM_protein.pdb,0,39.458,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1IM/5SAU_1IM_ligand_start_conf.sdf,ok,20,default_s10_t20,0.6,results/posex_cd/diffdock_l_gpu/5SAU_1IM/default_s10_t20/predictions/5SAU_1IM/rank1_confidence0.60.sdf,1,0.5053069070942359,True,results/posex_cd/diffdock_l_gpu/5SAU_1IM/default_s10_t20/run_status.json,,,ok,8.7229185828401,6.325693367077298,False,False
posex_cross_dock,2,diffdock_l_gpu,5SAU_1JI,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1JI/5SAU_1JI_ligand.sdf,0.22,results/posex_cd/diffdock_l_gpu/5SAU_1JI/default_s10_t20/predictions/5SAU_1JI/rank3_confidence0.22.sdf,3,0.8215430396135679,True,results/posex_cd/diffdock_l_gpu/5SAU_1JI/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1JI/5SAU_1JI_protein.pdb,0,39.897,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1JI/5SAU_1JI_ligand_start_conf.sdf,ok,20,default_s10_t20,0.27,results/posex_cd/diffdock_l_gpu/5SAU_1JI/default_s10_t20/predictions/5SAU_1JI/rank1_confidence0.27.sdf,1,0.6660237810131109,True,results/posex_cd/diffdock_l_gpu/5SAU_1JI/default_s10_t20/run_status.json,,,ok,8.040073151117003,8.040073151117003,False,False
posex_cross_dock,6,diffdock_l_gpu,5SAU_1K2,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1K2/5SAU_1K2_ligand.sdf,0.33,results/posex_cd/diffdock_l_gpu/5SAU_1K2/default_s10_t20/predictions/5SAU_1K2/rank6_confidence0.33.sdf,6,1.100231616978898,True,results/posex_cd/diffdock_l_gpu/5SAU_1K2/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1K2/5SAU_1K2_protein.pdb,0,45.946,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAU_1K2/5SAU_1K2_ligand_start_conf.sdf,ok,20,default_s10_t20,0.39,results/posex_cd/diffdock_l_gpu/5SAU_1K2/default_s10_t20/predictions/5SAU_1K2/rank1_confidence0.39.sdf,1,1.0678643404790085,True,results/posex_cd/diffdock_l_gpu/5SAU_1K2/default_s10_t20/run_status.json,,,ok,10.35014660405027,7.740542560570287,False,False
posex_cross_dock,7,diffdock_l_gpu,5SAV_1IF,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IF/5SAV_1IF_ligand.sdf,0.28,results/posex_cd/diffdock_l_gpu/5SAV_1IF/default_s10_t20/predictions/5SAV_1IF/rank6_confidence0.28.sdf,6,0.37985777460593256,True,results/posex_cd/diffdock_l_gpu/5SAV_1IF/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IF/5SAV_1IF_protein.pdb,0,39.695,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IF/5SAV_1IF_ligand_start_conf.sdf,ok,20,default_s10_t20,0.35,results/posex_cd/diffdock_l_gpu/5SAV_1IF/default_s10_t20/predictions/5SAV_1IF/rank1_confidence0.35.sdf,1,0.44178886157788716,True,results/posex_cd/diffdock_l_gpu/5SAV_1IF/default_s10_t20/run_status.json,,,ok,10.443119691589152,9.63618286904697,False,False
posex_cross_dock,6,diffdock_l_gpu,5SAV_1IM,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IM/5SAV_1IM_ligand.sdf,0.31,results/posex_cd/diffdock_l_gpu/5SAV_1IM/default_s10_t20/predictions/5SAV_1IM/rank7_confidence0.31.sdf,7,0.37012237792770253,True,results/posex_cd/diffdock_l_gpu/5SAV_1IM/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IM/5SAV_1IM_protein.pdb,0,39.511,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1IM/5SAV_1IM_ligand_start_conf.sdf,ok,20,default_s10_t20,0.4,results/posex_cd/diffdock_l_gpu/5SAV_1IM/default_s10_t20/predictions/5SAV_1IM/rank1_confidence0.40.sdf,1,1.1339594761592797,True,results/posex_cd/diffdock_l_gpu/5SAV_1IM/default_s10_t20/run_status.json,,,ok,6.529607338555228,6.529607338555228,False,False
posex_cross_dock,3,diffdock_l_gpu,5SAV_1JI,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1JI/5SAV_1JI_ligand.sdf,-0.07,results/posex_cd/diffdock_l_gpu/5SAV_1JI/default_s10_t20/predictions/5SAV_1JI/rank6_confidence-0.07.sdf,6,0.8454977337713568,True,results/posex_cd/diffdock_l_gpu/5SAV_1JI/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1JI/5SAV_1JI_protein.pdb,0,41.057,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1JI/5SAV_1JI_ligand_start_conf.sdf,ok,20,default_s10_t20,-0.01,results/posex_cd/diffdock_l_gpu/5SAV_1JI/default_s10_t20/predictions/5SAV_1JI/rank1_confidence-0.01.sdf,1,0.6605013978505268,True,results/posex_cd/diffdock_l_gpu/5SAV_1JI/default_s10_t20/run_status.json,,,ok,8.115139451609103,8.112601449307892,False,False
posex_cross_dock,0,diffdock_l_gpu,5SAV_1K2,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1K2/5SAV_1K2_ligand.sdf,-0.03,results/posex_cd/diffdock_l_gpu/5SAV_1K2/default_s10_t20/predictions/5SAV_1K2/rank10_confidence-0.03.sdf,10,1.254633482203734,True,results/posex_cd/diffdock_l_gpu/5SAV_1K2/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1K2/5SAV_1K2_protein.pdb,0,39.607,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAV_1K2/5SAV_1K2_ligand_start_conf.sdf,ok,20,default_s10_t20,0.09,results/posex_cd/diffdock_l_gpu/5SAV_1K2/default_s10_t20/predictions/5SAV_1K2/rank1_confidence0.09.sdf,1,1.0528475161832949,True,results/posex_cd/diffdock_l_gpu/5SAV_1K2/default_s10_t20/run_status.json,,,ok,9.114246008968598,8.856576776911796,False,False
posex_cross_dock,4,diffdock_l_gpu,5SAW_1IF,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IF/5SAW_1IF_ligand.sdf,0.27,results/posex_cd/diffdock_l_gpu/5SAW_1IF/default_s10_t20/predictions/5SAW_1IF/rank9_confidence0.27.sdf,9,0.3434123572949247,True,results/posex_cd/diffdock_l_gpu/5SAW_1IF/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IF/5SAW_1IF_protein.pdb,0,39.422,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IF/5SAW_1IF_ligand_start_conf.sdf,ok,20,default_s10_t20,0.38,results/posex_cd/diffdock_l_gpu/5SAW_1IF/default_s10_t20/predictions/5SAW_1IF/rank1_confidence0.38.sdf,1,0.9292677931729751,True,results/posex_cd/diffdock_l_gpu/5SAW_1IF/default_s10_t20/run_status.json,,,ok,8.411913685787725,8.411913685787725,False,False
posex_cross_dock,7,diffdock_l_gpu,5SAW_1IJ,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IJ/5SAW_1IJ_ligand.sdf,0.07,results/posex_cd/diffdock_l_gpu/5SAW_1IJ/default_s10_t20/predictions/5SAW_1IJ/rank3_confidence0.07.sdf,3,1.2065204696426273,True,results/posex_cd/diffdock_l_gpu/5SAW_1IJ/default_s10_t20,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IJ/5SAW_1IJ_protein.pdb,0,40.332,10,external/PoseX/data/dataset/posex/posex_cross_docking_set/5SAW_1IJ/5SAW_1IJ_ligand_start_conf.sdf,ok,20,default_s10_t20,0.15,results/posex_cd/diffdock_l_gpu/5SAW_1IJ/default_s10_t20/predictions/5SAW_1IJ/rank1_confidence0.15.sdf,1,1.190001401399735,True,results/posex_cd/diffdock_l_gpu/5SAW_1IJ/default_s10_t20/run_status.json,,,ok,8.55769874547669,7.147709779945834,False,False
