_group_id,case_type,method_official,target_official,ligand_instance_chain_official,reference_neighborhood_similarity_official,rmsd_official,rmsd_selected,rmsd_delta_selected_minus_official,pred_protein_clash_density_2a_selected,mapping_cost,pb_internal_steric_clash,pb_volume_overlap_with_protein,status,all_unstructured_f1,all_unstructured_recall,hbond_proxy_unstructured_f1,abs_rmsd_gain,figure_priority_score
boltz2|8j7j__1__1.A_1.B__1.C|1.C,rescued,boltz2,8j7j__1__1.A_1.B__1.C,1.C,0.3410472369781002,8.269673347473145,1.7803895473480225,-6.489283800125122,0.0,9.307321220147886,True,True,posebusters_attempted,0.8260869565217391,0.9047619047619048,0.6666666666666666,6.489283800125122,10.384638634632072
boltz2|8g4a__1__1.A_1.B__1.C|1.C,rescued,boltz2,8g4a__1__1.A_1.B__1.C,1.C,0.2310147037633507,4.771772861480713,0.348782479763031,-4.422990381717682,0.0,0.9133587260122542,True,True,posebusters_attempted,0.9090909090909092,1.0,0.6666666666666666,4.422990381717682,9.240745418207366
af3|8oqt__1__1.D__1.KA_1.LA|1.LA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.LA,0.3024154635531021,5.477558612823486,1.203909158706665,-4.273649454116821,0.0,0.4780305913562737,True,True,posebusters_attempted,0.8333333333333334,0.8333333333333334,1.0,4.273649454116821,9.059179728314527
af3|8oqt__1__1.D__1.KA_1.LA|1.KA,rescued,af3,8oqt__1__1.D__1.KA_1.LA,1.KA,0.3021172097360155,5.477558612823486,1.203909158706665,-4.273649454116821,0.0,0.4496926867190824,True,True,posebusters_attempted,0.5517241379310345,0.4705882352941176,0.0,4.273649454116821,8.780404323375947
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,2.483792304992676,1.3524090051651,-1.1313832998275757,0.0,4.417935937251759,True,True,posebusters_attempted,0.8333333333333333,0.7894736842105263,0.7272727272727272,1.1313832998275757,5.5229230394357325
af3|7ypu__1__1.A_1.B__1.J_1.K|1.J,rescued,af3,7ypu__1__1.A_1.B__1.J_1.K,1.J,0.3473158508969899,2.7236948013305664,1.369502305984497,-1.3541924953460691,0.0,7.941667975650835,True,True,posebusters_attempted,0.8837209302325583,0.8260869565217391,0.75,1.3541924953460691,5.443746628013544
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.H,0.2435258976826319,2.957307815551758,1.8910285234451287,-1.066279292106629,0.0,6.120468387237515,True,True,posebusters_attempted,0.8421052631578947,0.8421052631578947,0.7272727272727272,1.066279292106629,5.296337716540773
af3_no_template|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3_no_template,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,2.483792304992676,1.6924625635147097,-0.7913297414779661,0.0,3.757704122239845,True,True,posebusters_attempted,0.8333333333333334,0.9375,0.6666666666666665,0.7913297414779661,5.2488926625873145
af3|8fdb__1__1.A_1.B__1.D_1.F_1.H|1.D,rescued,af3,8fdb__1__1.A_1.B__1.D_1.F_1.H,1.D,0.326711479979238,2.957307815551758,1.932344913482666,-1.0249629020690918,0.0,5.712725321605985,True,True,posebusters_attempted,0.7647058823529411,0.8125,0.5,1.0249629020690918,5.218396252261434
protenix|8eym__1__1.A_1.B__1.C_1.E|1.C,rescued,protenix,8eym__1__1.A_1.B__1.C_1.E,1.C,0.1889863473461275,2.1514687538146973,1.4076029062271118,-0.7438658475875854,0.0,4.052067636376607,True,True,posebusters_attempted,0.8292682926829269,0.85,0.7692307692307692,0.7438658475875854,5.167927376632852
protenix|8eym__1__1.A_1.B__1.C_1.E|1.E,rescued,protenix,8eym__1__1.A_1.B__1.C_1.E,1.E,0.1905689788528178,2.1514687538146973,1.7940973043441772,-0.35737144947052,0.0,3.075330731617761,True,True,posebusters_attempted,0.8095238095238095,0.7727272727272727,0.6666666666666666,0.35737144947052,4.859362185832553
chai|8ivt__1__1.A_1.B__1.F|1.F,harmed,chai,8ivt__1__1.A_1.B__1.F,1.F,0.3347984178695694,1.6857473850250244,4.8481059074401855,3.162358522415161,0.0,16.020721589935615,False,True,posebusters_attempted,0.6666666666666666,0.5769230769230769,0.0,-3.162358522415161,-0.935405492326895
