dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd,failure_regime,ligand_heavy_atoms,ligand_rot_bonds,ligand_chiral_centers,ligand_tpsa,ligand_mol_wt,ligand_rings,protein_aa_length,source_rows,pb_valid_fraction,median_centroid_distance,median_volume_overlap_protein,max_volume_overlap_protein,median_pairwise_clashes_protein,max_pairwise_clashes_protein,min_smallest_distance_protein
astex_diverse,1GPK_HUP,cross_generator_balanced,,32,32,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612,Successful top-1,18.0,0.0,2.0,58.88,242.322,3.0,529,40.0,0.325,1.5642127222249422,0.012592839950393401,0.1635071090047393,0.0,14.0,0.4995027227153015
astex_diverse,1HNN_SKF,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep2,True,1.1058418254240272,DiffDock-L default s10/t20,True,0.4611847886538691,Successful top-1,14.0,1.0,0.0,72.19,212.274,2.0,528,40.0,0.625,44.879308661935625,0.023807272096927748,0.3985549132947977,0.0,31.0,0.7439110833963993
astex_diverse,1HP0_AD3,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,False,27.37737272756848,public_boltz_ss_relaxedFalse_rep3,False,2.021703508118053,public_diffdock_relaxedFalse_rep1,True,0.4142212414182848,Discrimination-limited,19.0,2.0,4.0,126.65,266.257,3.0,641,40.0,0.575,21.55066493700709,0.02412571510905825,0.3891547049441786,0.0,36.0,0.5111075522822938
astex_diverse,1HQ2_PH2,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,True,0.2671864624457719,public_boltz_ss_relaxedFalse_rep3,True,0.2525540720038274,public_boltz_ss_relaxedFalse_rep3,True,0.2525540720038274,Successful top-1,14.0,1.0,0.0,116.39,195.182,2.0,158,34.0,0.4411764705882353,0.3477198286794791,0.025388297977321853,0.1388888888888889,0.0,8.0,1.814619265851656
astex_diverse,1HWW_SWA,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep3,False,12.064557581783372,DiffDock-L default s10/t20,True,0.5837904011715176,DiffDock-L default s10/t20,True,0.5837904011715176,Successful top-1,12.0,0.0,4.0,63.93000000000001,173.21200000000002,2.0,1014,40.0,0.25,11.792807161597487,0.07152437408130316,0.378581173260573,0.0,27.0,0.8916152533464256
astex_diverse,1IA1_TQ3,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,True,0.201201188915604,public_boltz_ss_relaxedFalse_rep1,True,0.2485208939643548,public_boltz_relaxedFalse_rep1,True,0.201201188915604,Successful top-1,19.0,2.0,0.0,77.82,268.345,3.0,384,34.0,0.47058823529411764,13.3028089361377,0.0191098825201376,0.5018595493327499,0.0,70.0,0.3570751601553937
astex_diverse,1IG3_VIB,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,False,17.12064327301012,Chai-1 full receptor s5/t200,True,0.5021367630586809,Chai-1 full receptor s5/t200,True,0.5021367630586809,Successful top-1,18.0,4.0,0.0,75.91,265.362,2.0,497,40.0,0.5,16.964323508424926,0.0181095406360424,0.6201277251706673,0.0,75.0,0.7164993091413269
astex_diverse,1JD0_AZM,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,True,1.0990894168145944,public_neuralplexer_relaxedFalse_rep3,True,1.417061613393661,public_boltz_relaxedFalse_rep1,True,1.0990894168145944,Successful top-1,13.0,2.0,0.0,115.04,222.25100000000003,1.0,519,40.0,0.75,0.6991454822785632,0.020140694801037952,0.6956912028725314,0.0,83.0,0.5779231955891709
astex_diverse,1JJE_BYS,cross_generator_balanced,,32,32,public_boltz_ss_relaxedFalse_rep3,False,6.201565310435745,public_dynamicbind_relaxedTrue_rep-1,False,2.443642516326806,public_diffdock_relaxedTrue_rep1,True,1.736292798349404,Discrimination-limited,25.0,7.0,2.0,93.06,342.3470000000001,3.0,441,34.0,0.35294117647058826,4.950672472898993,0.02844811965555835,0.4564656562399226,0.0,89.0,0.4959062915511376
astex_diverse,1JLA_TNK,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,True,1.384183346076507,public_boltz_relaxedFalse_rep2,True,0.8947861633642691,DiffDock-L default s10/t20,True,0.659983013810597,Successful top-1,27.0,7.0,0.0,64.09,364.4450000000001,3.0,954,40.0,0.575,14.45173900624595,0.021302163026216,0.7244006985235751,0.0,150.0,0.2087420896704844
