_group_id,case_type,pose_kind,target,ligand_instance_chain,rmsd,success_rmsd_2,native_all_n,pred_all_n,all_precision,all_recall,all_f1,all_jaccard,all_native_n,all_pred_n,contact_precision,contact_recall,contact_f1,contact_jaccard,contact_native_n,contact_pred_n,hbond_proxy_precision,hbond_proxy_recall,hbond_proxy_f1,hbond_proxy_jaccard,hbond_proxy_native_n,hbond_proxy_pred_n,hydrophobic_proxy_precision,hydrophobic_proxy_recall,hydrophobic_proxy_f1,hydrophobic_proxy_jaccard,hydrophobic_proxy_native_n,hydrophobic_proxy_pred_n,all_unstructured_precision,all_unstructured_recall,all_unstructured_f1,all_unstructured_jaccard,all_unstructured_native_n,all_unstructured_pred_n,contact_unstructured_precision,contact_unstructured_recall,contact_unstructured_f1,contact_unstructured_jaccard,contact_unstructured_native_n,contact_unstructured_pred_n,hbond_proxy_unstructured_precision,hbond_proxy_unstructured_recall,hbond_proxy_unstructured_f1,hbond_proxy_unstructured_jaccard,hbond_proxy_unstructured_native_n,hbond_proxy_unstructured_pred_n,hydrophobic_proxy_unstructured_precision,hydrophobic_proxy_unstructured_recall,hydrophobic_proxy_unstructured_f1,hydrophobic_proxy_unstructured_jaccard,hydrophobic_proxy_unstructured_native_n,hydrophobic_proxy_unstructured_pred_n
chai|8ivt__1__1.A_1.B__1.F|1.F,harmed,official,8ivt__1__1.A_1.B__1.F,1.F,1.6857473850250244,True,38,35,0.0,0.0,0.0,0.0,38,35,0.0,0.0,0.0,0.0,18,17,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,16,15,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.7407407407407407,26,21,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,12,10,0.6666666666666666,0.5,0.5714285714285715,0.4,4,3,1.0,0.8,0.888888888888889,0.8,10,8
chai|8ivt__1__1.A_1.B__1.F|1.F,harmed,selected,8ivt__1__1.A_1.B__1.F,1.F,4.8481059074401855,False,38,25,0.0,0.0,0.0,0.0,38,25,0.0,0.0,0.0,0.0,18,13,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,16,12,0.7894736842105263,0.5769230769230769,0.6666666666666666,0.5,26,19,0.8,0.6666666666666666,0.7272727272727272,0.5714285714285714,12,10,0.0,0.0,0.0,0.0,4,0,0.7777777777777778,0.7,0.7368421052631577,0.5833333333333334,10,9
af3|7di7__1__1.A__1.D|1.D,kept_official,official,7di7__1__1.A__1.D,1.D,7.8910441398620605,False,21,26,0.0,0.0,0.0,0.0,21,26,0.0,0.0,0.0,0.0,10,13,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,10,13,0.7142857142857143,0.6666666666666666,0.689655172413793,0.5263157894736842,15,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,7,7,0.0,0.0,0.0,0.0,1,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,7,7
af3|7di7__1__1.A__1.D|1.D,kept_official,selected,7di7__1__1.A__1.D,1.D,7.8910441398620605,False,21,26,0.0,0.0,0.0,0.0,21,26,0.0,0.0,0.0,0.0,10,13,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,10,13,0.7142857142857143,0.6666666666666666,0.689655172413793,0.5263157894736842,15,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,7,7,0.0,0.0,0.0,0.0,1,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,7,7
af3|7dia__1__1.A__1.D_1.E_1.G|1.E,kept_official,official,7dia__1__1.A__1.D_1.E_1.G,1.E,42.88020324707031,False,16,21,0.0,0.0,0.0,0.0,16,21,0.0,0.0,0.0,0.0,8,11,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,8,10,0.4117647058823529,0.5,0.45161290322580644,0.2916666666666667,14,17,0.4444444444444444,0.5714285714285714,0.5,0.3333333333333333,7,9,1.0,1.0,1.0,1.0,0,0,0.375,0.42857142857142855,0.39999999999999997,0.25,7,8
af3|7dia__1__1.A__1.D_1.E_1.G|1.E,kept_official,selected,7dia__1__1.A__1.D_1.E_1.G,1.E,42.88020324707031,False,16,21,0.0,0.0,0.0,0.0,16,21,0.0,0.0,0.0,0.0,8,11,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,8,10,0.4117647058823529,0.5,0.45161290322580644,0.2916666666666667,14,17,0.4444444444444444,0.5714285714285714,0.5,0.3333333333333333,7,9,1.0,1.0,1.0,1.0,0,0,0.375,0.42857142857142855,0.39999999999999997,0.25,7,8
af3|7dij__1__1.A__1.F_1.J|1.J,kept_official,official,7dij__1__1.A__1.F_1.J,1.J,0.7336393594741821,True,25,28,0.0,0.0,0.0,0.0,25,28,0.0,0.0,0.0,0.0,12,13,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,10,13,0.9375,0.9375,0.9375,0.8823529411764706,16,16,1.0,1.0,1.0,1.0,7,7,1.0,0.6666666666666666,0.8,0.6666666666666666,3,2,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,6,7
af3|7dij__1__1.A__1.F_1.J|1.J,kept_official,selected,7dij__1__1.A__1.F_1.J,1.J,0.7336393594741821,True,25,28,0.0,0.0,0.0,0.0,25,28,0.0,0.0,0.0,0.0,12,13,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,10,13,0.9375,0.9375,0.9375,0.8823529411764706,16,16,1.0,1.0,1.0,1.0,7,7,1.0,0.6666666666666666,0.8,0.6666666666666666,3,2,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,6,7
af3|7e1n__1__1.A_1.B__1.D|1.D,kept_official,official,7e1n__1__1.A_1.B__1.D,1.D,1.7902594804763794,True,26,26,0.0,0.0,0.0,0.0,26,26,0.0,0.0,0.0,0.0,15,13,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,11,12,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6470588235294118,14,14,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,7,7,0.0,0.0,0.0,0.0,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.625,7,6
af3|7e1n__1__1.A_1.B__1.D|1.D,kept_official,selected,7e1n__1__1.A_1.B__1.D,1.D,1.7902594804763794,True,26,26,0.0,0.0,0.0,0.0,26,26,0.0,0.0,0.0,0.0,15,13,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,11,12,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6470588235294118,14,14,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,7,7,0.0,0.0,0.0,0.0,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.625,7,6
