dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd,oracle_method_original,oracle_success_original,oracle_rmsd_original,oracle_endpoint_rule
astex_diverse,1GPK_HUP,cross_generator_balanced,,1,1,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,1,1,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,1,1,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedFalse_rep1,False,8.57493160508368,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DiffDock,1,1,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,1,1,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,1,1,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,1,1,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,cross_generator_balanced,,2,2,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,2,2,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,2,2,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedTrue_rep1,False,8.423822336286605,public_chai_relaxedTrue_rep1,False,8.423822336286605,public_chai_relaxedTrue_rep1,False,8.423822336286605,any retained candidate satisfies the same frozen success_2a endpoint
