baseline,setting,tag,dataset,mol_id,ligand_heavy_atoms,status,success_2a,rmsd,runtime_sec
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1N2J_PAF,10.0,ok,False,38.6754803044656,44.94
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1HQ2_PH2,14.0,ok,False,3.729105640383998,36.43
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1W2G_THM,17.0,ok,False,4.546113181389535,42.25
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1L2S_STC,19.0,ok,False,13.653803789875669,69.883
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1OWE_675,22.0,ok,False,4.468522648842932,39.684
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1T9B_1CS,23.0,ok,False,22.265302334337605,159.855
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1XOQ_ROF,26.0,ok,False,8.783511893275962,65.033
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1R1H_BIR,29.0,ok,False,7.653070670769364,53.016
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1LPZ_CMB,32.0,ok,False,5.971895700599617,35.544
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,astex_diverse,1KZK_JE2,41.0,ok,False,5.345332395508819,34.118
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7A9E_R4W,6.0,ok,False,17.98046608310694,47.657
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7OP9_06K,11.0,failed_no_prediction_cif,False,,33.917
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7NTG_F6R,16.0,ok,False,3.4810498740508633,65.88
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7RWO_7WN,20.0,ok,False,5.803903045996065,31.801
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,8A1H_DLZ,23.0,ok,False,10.092950429568845,60.272
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7AVI_S2Q,27.0,ok,False,6.796797115085194,100.545
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,5SB2_1K2,30.0,ok,False,8.85672980204076,37.087
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7VWF_K55,33.0,ok,False,5.663360067596295,73.829
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,7ROU_66I,39.0,ok,False,9.315676426809903,45.586
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,posebusters_benchmark,8F4J_PHO,64.0,failed_nonzero,False,,64.577
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,3ub7_1_ACM_1,4.0,ok,False,2.702345282063147,64.129
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,2xrh_1_NIO_1,9.0,ok,False,5.9089112448790795,59.277
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,6uqy_2_AT3_0,10.0,ok,False,4.69928805540885,33.329
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,4qo5_1_NAG_2,14.0,ok,False,6.399885662508442,55.667
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,4xdr_1_ADN_0,19.0,ok,False,7.299574499274496,35.435
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,6rms_1_AMP_1,23.0,ok,False,36.637262143716534,36.221
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,6ryz_1_SAM_2,27.0,ok,False,10.155585541808138,70.742
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,3jqm_1_GTP_5,32.0,ok,False,21.46723302022349,34.309
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,3ad7_1_NAD_0,44.0,ok,False,12.263128912457738,94.721
Boltz-2,low_budget_full_protocol,full_r1_s20_seed101,dockgen,4bc9_1_CNV-FAD_0,57.0,ok,False,16.942471448190464,141.67
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1N2J_PAF,10.0,ok,False,40.304698464434104,115.826
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1HQ2_PH2,14.0,ok,False,3.751906780003289,89.533
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1W2G_THM,17.0,ok,False,4.175979222338304,101.984
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1L2S_STC,19.0,ok,False,15.042115299127921,134.923
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1OWE_675,22.0,ok,False,4.461766528249197,34.344
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1T9B_1CS,23.0,ok,False,19.49090651488504,322.12
