dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd,oracle_method_original,oracle_success_original,oracle_rmsd_original,oracle_endpoint_rule
astex_diverse,1L7F_BCZ,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1L7F_BCZ,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1L7F_BCZ,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1L7F_BCZ,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1L7F_BCZ,same_generator,DynamicBind,32,2,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedFalse_rep-1,True,1.2498251691649764,public_dynamicbind_relaxedTrue_rep-1,False,1.2498251691649764,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7W06_ITN,same_generator,Chai,2,2,public_chai_relaxedTrue_rep3,True,1.3370084781261395,public_chai_relaxedTrue_rep1,False,1.268473275559567,public_chai_relaxedTrue_rep3,True,1.3370084781261395,public_chai_relaxedTrue_rep1,False,1.268473275559567,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7W06_ITN,cross_generator_balanced,,16,16,public_boltz_relaxedFalse_rep1,False,3.2265262994606303,public_boltz_ss_relaxedFalse_rep1,False,3.269457483368695,public_chai_relaxedTrue_rep3,True,1.3370084781261395,public_chai_relaxedTrue_rep1,False,1.268473275559567,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7NR8_UOE,cross_generator_balanced,,4,4,public_diffdock_relaxedFalse_rep1,False,2.7765449561960587,Chai-1 full receptor s5/t200,True,1.607380555032822,Chai-1 full receptor s5/t200,True,1.607380555032822,public_dynamicbind_relaxedFalse_rep-1,False,1.398406676026525,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7NR8_UOE,cross_generator_balanced,,8,8,public_diffdock_relaxedFalse_rep1,False,2.7765449561960587,Chai-1 full receptor s5/t200,True,1.607380555032822,Chai-1 full receptor s5/t200,True,1.607380555032822,public_dynamicbind_relaxedFalse_rep-1,False,1.398406676026525,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7NR8_UOE,cross_generator_balanced,,16,16,public_diffdock_relaxedFalse_rep1,False,2.7765449561960587,Chai-1 full receptor s5/t200,True,1.607380555032822,Chai-1 full receptor s5/t200,True,1.607380555032822,public_dynamicbind_relaxedFalse_rep-1,False,1.398406676026525,any retained candidate satisfies the same frozen success_2a endpoint
posebusters_benchmark,7NR8_UOE,cross_generator_balanced,,32,22,public_diffdock_relaxedFalse_rep1,False,2.7765449561960587,Chai-1 full receptor s5/t200,True,1.607380555032822,Chai-1 full receptor s5/t200,True,1.607380555032822,public_dynamicbind_relaxedFalse_rep-1,False,1.398406676026525,any retained candidate satisfies the same frozen success_2a endpoint
